time,PM,sdPM,PT,sdPT,S,sdS,X,sdX,V,Feed,D,Sin
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0.41,0.41,20
1,0.11092733,0.1,0,0.1,7.892886507,0.25,1.142384655,0.1,1.41,0.41,0.291732104,20
2,0,0.1,0,0.1,8.800469646,0.25,0.774049106,0.1,1.81,0.41,0.226419518,20
3,0.007735909,0.1,0.143838029,0.1,8.876550903,0.25,1.182562825,0.1,2.22,0.41,0.18500161,20
4,0,0.1,0.032519054,0.1,8.146279762,0.25,1.276321526,0.1,2.62,0.41,0.156393286,20
5,0,0.1,0,0.1,6.569485413,0.25,1.31921277,0.1,3.03,0.41,0.135447867,20
6,0,0.1,0.137029854,0.1,5.346658056,0.25,1.68120508,0.1,3.43,0.41,0.119450161,20
7,0.153263054,0.1,0,0.1,3.227900683,0.25,2.112796226,0.1,3.84,0.41,0.106832238,20
8,0,0.1,0.018656145,0.1,0.544516357,0.25,2.791132216,0.1,4.24,0.41,0.096625375,20
9,0.380205445,0.1,0.582405918,0.1,0.411164226,0.25,2.76887426,0.1,4.65,0.41,0.088198772,20
10,0.894441391,0.1,1.281446474,0.1,0.31597655,0.25,2.377640887,0.1,5.05,0.41,0.081124026,20
11,1.621383142,0.1,1.907908302,0.1,0.044177319,0.25,2.833567435,0.1,5.46,0.41,0.075099983,20
12,1.981748339,0.1,2.398294757,0.1,0.182029843,0.25,2.617542824,0.1,5.86,0.41,0.069908754,20
13,2.658027348,0.1,3.069394094,0.1,0,0.25,2.551621374,0.1,6.27,0.41,0.065388802,20
14,3.255673779,0.1,3.622311365,0.1,0.313261522,0.25,2.640704502,0.1,6.68,0.41,0.061417832,20
15,3.837123426,0.1,4.246690603,0.1,0,0.25,2.558705299,0.1,7.08,0.41,0.057901552,20
,,,,,,,,,,,,
0,0,0.1,0,0.1,5,0.25,1,0.1,1,0.41,0.41,20
1,0,0.1,0,0.1,7.593358199,0.25,0.967589267,0.1,1.41,0.41,0.291732104,20
2,0.096095387,0.1,0,0.1,8.497663787,0.25,0.850774762,0.1,1.81,0.41,0.226419518,20
3,0.01240498,0.1,0,0.1,8.919177572,0.25,1.022115309,0.1,2.22,0.41,0.18500161,20
4,0.143669662,0.1,0.084037553,0.1,7.777288989,0.25,1.138286829,0.1,2.62,0.41,0.156393286,20
5,0,0.1,0,0.1,7.045513247,0.25,1.685027322,0.1,3.03,0.41,0.135447867,20
6,0,0.1,0.010009283,0.1,5.376120435,0.25,1.663004094,0.1,3.43,0.41,0.119450161,20
7,0,0.1,0,0.1,2.759413075,0.25,2.153341458,0.1,3.84,0.41,0.106832238,20
8,0.297664645,0.1,0.059232469,0.1,0.476210436,0.25,2.414050671,0.1,4.24,0.41,0.096625375,20
9,0.425589453,0.1,0.546517966,0.1,0,0.25,2.580791599,0.1,4.65,0.41,0.088198772,20
10,1.054896826,0.1,1.298522046,0.1,0,0.25,2.436144089,0.1,5.05,1.59,0.31460286,20
11,0.879332939,0.1,1.074545706,0.1,1.235778343,0.25,2.275156721,0.1,6.65,1.59,0.239148374,20
12,0.766299868,0.1,0.990948163,0.1,1.004477544,0.25,2.356664042,0.1,8.24,1.59,0.192886417,20
13,0.722588802,0.1,0.784378625,0.1,1.079182884,0.25,2.622037768,0.1,9.84,1.59,0.161621596,20
14,0.994434433,0.1,0.803042006,0.1,0.131842037,0.25,2.588825586,0.1,11.43,1.59,0.139078467,20
15,1.145591206,0.1,1.287357059,0.1,0.281122535,0.25,2.607056293,0.1,13.03,1.59,0.12205423,20
